PDB ID,PDB Chain Id,Protein,Source Organism,Protein length,Experimental Methods,Resolution (Å),Oligomeric State,Chain 1,Chain 2,Category,BSA_complex,BSA_chain1,BSA_chain2,FNP_complex,FNP_chain1,FNP_chain2,FBU_complex,FBU_chain1,FBU_chain2,LD_complex,LD_chain1,LD_chain2
1HJB,ABCDEF:GHIJ,CCAAT/ENHANCER BINDING PROTEIN BETA+RUNT-RELATED TRANSCRIPTION FACTOR 1,M. musculus,123+87,X,3.0,Homodimer + Monomer,A,B,Protein-Protein,1941.33,986.61,954.72,79.79,81.38,78.14,32.02,29.35,34.88,62.09,32.61,31.12
1HWT,CDGH:ABEF,PROTEIN (HEME ACTIVATOR PROTEIN),S. cerevisiae,81,X,2.5,Homodimer,C,D,Protein-Protein,2279.38,1142.1,1137.28,74.68,75.3,74.06,25.63,27.72,23.47,62.16,30.08,33.24
1IC8,AB:EF,HEPATOCYTE NUCLEAR FACTOR 1-ALPHA,H. sapiens,194,X,2.6,Homodimer,A,B,Protein-Protein,444.44,211.45,232.99,59.94,59.15,60.65,6.78,8.33,4.35,36.17,20.17,16.52
1IHF,AB:CDE,PROTEIN (INTEGRATION HOST FACTOR (ALPHA) (IHF))+PROTEIN (INTEGRATION HOST FACTOR (BETA) (IHF)),E. coli,94+99,X,2.5,Heterodimer,A,B,Protein-Protein,4864.84,2434.99,2429.85,70.71,71.7,69.71,41.48,41.83,41.1,108.77,57.51,55.75
1IO4,ABCD:EF,"CAAT/ENHANCER BINDING PROTEIN BETA+CORE-BINDING FACTOR, BETA SUBUNIT+RUNT-RELATED TRANSCRIPTION FACTOR 1",M. musculus,123+141+78,X,3.0,Hetero (homodimer+hetero 2-mer) 4-mer,A,B,Protein-Protein,1924.81,968.78,956.03,80.67,84.34,76.95,35.59,36.56,34.52,59.99,33.31,28.79
1IO4,ABCD:EF,"CAAT/ENHANCER BINDING PROTEIN BETA+CORE-BINDING FACTOR, BETA SUBUNIT+RUNT-RELATED TRANSCRIPTION FACTOR 1",M. musculus,123+141+78,X,3.0,Hetero (homodimer+hetero 2-mer) 4-mer,C,D,Protein-Protein,2153.52,1085.19,1068.33,57.41,64.76,49.96,35.71,31.48,39.66,83.26,42.11,44.57
1JE8,ABEF:CDGH,Nitrate/Nitrite Response Regulator Protein NARL,E. coli,82,X,2.12,Homodimer,A,B,Protein-Protein,809.04,407.16,401.88,77.96,79.45,76.46,13.04,15.91,10.42,59.98,30.14,32.62
1JFI,ABC:DE,TATA-BOX-BINDING PROTEIN (TBP)+Transcription Regulator NC2 alpha chain+Transcription Regulator NC2 beta chain,H. sapiens,179+185+98,X,2.62,Hetero 3-mer,A,B,Protein-Protein,3988.24,1978.0,2010.24,78.24,82.97,73.58,44.84,47.13,42.78,90.95,50.0,44.94
1JFI,ABC:DE,TATA-BOX-BINDING PROTEIN (TBP)+Transcription Regulator NC2 alpha chain+Transcription Regulator NC2 beta chain,H. sapiens,179+185+98,X,2.62,Hetero 3-mer,A,C,Protein-Protein,429.34,186.06,243.28,46.17,54.21,40.03,19.51,22.73,15.79,35.8,19.0,16.74
1JFI,ABC:DE,TATA-BOX-BINDING PROTEIN (TBP)+Transcription Regulator NC2 alpha chain+Transcription Regulator NC2 beta chain,H. sapiens,179+185+98,X,2.62,Hetero 3-mer,B,C,Protein-Protein,1436.52,749.49,687.03,66.6,65.26,68.07,35.21,33.33,36.84,62.28,31.12,32.37
1JT0,ABCD:EF,HYPOTHETICAL TRANSCRIPTIONAL REGULATOR IN QACA 5'REGION,S. aureus,194,X,2.9,Homo 4-mer,A,C,Protein-Protein,3045.38,1521.72,1523.66,76.39,78.02,74.75,30.12,31.36,28.76,81.49,44.06,40.59
1JT0,ABCD:EF,HYPOTHETICAL TRANSCRIPTIONAL REGULATOR IN QACA 5'REGION,S. aureus,194,X,2.9,Homo 4-mer,B,D,Protein-Protein,2923.23,1434.74,1488.49,77.6,77.7,77.51,32.28,35.58,28.76,81.8,43.79,41.61
1KU7,AD:BC,sigma factor sigA,T. aquaticus,73,X,2.4,Homodimer,A,D,Protein-Protein,1939.37,1003.27,936.1,72.11,77.23,66.61,30.77,31.18,30.39,75.22,34.32,44.63
1L3L,ABCD:EFGH,Transcriptional activator protein traR,A. tumefaciens,234,X,1.66,Homodimer,B,D,Protein-Protein,3251.17,1646.98,1604.19,67.75,65.43,70.14,33.05,31.61,34.44,82.74,41.63,44.51
1LMB,12:34:00,PROTEIN (LAMBDA REPRESSOR),E. phage lambda,92,X,1.8,Homodimer,3,4,Protein-Protein,1462.56,730.32,732.24,71.28,71.82,70.74,40.67,40.79,40.54,90.79,43.32,44.54
1LQ1,CD:EF,Stage 0 sporulation protein A,B. subtilis,120,X,2.3,Homo 2-mer (tandem dimer),C,D,Protein-Protein,881.77,436.4,445.37,69.81,64.37,75.14,18.28,18.75,17.78,50.6,27.25,25.47
1MDY,ABCD:EFGH,PROTEIN (MYOD BHLH DOMAIN)+PROTEIN (MYOD BHLH DOMAIN),M. musculus,62+68,X,2.8,Homo 2-mer,A,B,Protein-Protein,1687.6,848.11,839.49,89.16,89.06,89.27,41.14,42.68,39.47,67.71,36.8,33.58
1MHD,AB:CD,SMAD3,H. sapiens,132,X,2.8,Homo 2-mer,A,B,Protein-Protein,42.17,21.28,20.89,20.06,31.58,8.33,0.0,0.0,0.0,3.0,1.0,1.0
1MNM,ABCD:EF,PROTEIN (MAT ALPHA-2 TRANSCRIPTIONAL REPRESSOR)+PROTEIN (MCM1 TRANSCRIPTIONAL REGULATOR),S. cerevisiae,100+87,X,2.25,Hetero 4-mer,A,B,Protein-Protein,3820.61,1899.64,1920.97,75.78,76.45,75.13,41.89,41.08,42.7,87.67,45.21,45.2
1N6J,ABG:CD,Calcineurin-binding protein Cabin 1+Myocyte-specific enhancer factor 2B,H. sapiens,35+93,X,2.2,Hetero 3-mer (homdimer+monomer),A,B,Protein-Protein,6236.13,3111.91,3124.22,67.53,67.03,68.03,41.44,40.6,42.28,125.93,63.79,65.11
1N6J,ABG:CD,Calcineurin-binding protein Cabin 1+Myocyte-specific enhancer factor 2B,H. sapiens,35+93,X,2.2,Hetero 3-mer (homdimer+monomer),A,G,Protein-Protein,972.34,482.04,490.3,66.76,63.75,69.71,30.77,30.19,31.37,59.52,31.36,29.06
1N6J,ABG:CD,Calcineurin-binding protein Cabin 1+Myocyte-specific enhancer factor 2B,H. sapiens,35+93,X,2.2,Hetero 3-mer (homdimer+monomer),B,G,Protein-Protein,1090.52,547.62,542.9,68.23,64.69,71.81,21.65,25.0,18.37,50.64,26.33,24.37
1NGM,ABEFIJMN:CDGHKLOP,Transcription factor IIIB BRF1 subunit+Transcription initiation factor TFIID,S. cerevisiae,180+72,X,2.95,Hetero 2-mer,A,B,Protein-Protein,3800.17,1864.9,1935.27,61.4,58.16,64.52,31.82,35.15,28.35,80.54,42.61,39.25
1NKP,ABDE:FGHJ,Max protein+Myc proto-oncogene protein,H. sapiens,83+88,X,1.8,Heterodimer,A,B,Protein-Protein,3367.59,1686.93,1680.66,72.48,72.54,72.41,37.23,37.04,37.42,76.12,38.94,39.62
1NLW,ABDE:FGHJ,MAD PROTEIN+MAX PROTEIN,H. sapiens,76+80,X,2.0,Hetero 2-mer,A,B,Protein-Protein,2983.0,1500.01,1482.99,76.55,81.19,71.85,37.91,37.21,38.51,71.99,34.65,39.93
1NVP,ABCD:EF,TATA box binding protein+Transcription initiation factor IIA alpha chain+Transcription initiation factor IIA beta chain+Transcription initiation factor IIA gamma chain,H. sapiens,108+181+57+76,X,2.1,Hetero 4-mer,A,C,Protein-Protein,501.23,230.39,270.84,47.82,29.24,63.62,7.84,11.11,4.17,45.57,22.89,22.92
1NVP,ABCD:EF,TATA box binding protein+Transcription initiation factor IIA alpha chain+Transcription initiation factor IIA beta chain+Transcription initiation factor IIA gamma chain,H. sapiens,108+181+57+76,X,2.1,Hetero 4-mer,A,D,Protein-Protein,1041.63,479.11,562.52,42.67,42.23,43.04,26.85,36.21,16.0,65.87,35.41,32.64
1NVP,ABCD:EF,TATA box binding protein+Transcription initiation factor IIA alpha chain+Transcription initiation factor IIA beta chain+Transcription initiation factor IIA gamma chain,H. sapiens,108+181+57+76,X,2.1,Hetero 4-mer,B,C,Protein-Protein,263.65,131.37,132.28,74.18,71.58,76.77,12.0,8.33,15.38,24.0,11.0,12.0
1NVP,ABCD:EF,TATA box binding protein+Transcription initiation factor IIA alpha chain+Transcription initiation factor IIA beta chain+Transcription initiation factor IIA gamma chain,H. sapiens,108+181+57+76,X,2.1,Hetero 4-mer,B,D,Protein-Protein,1817.08,908.93,908.15,82.39,85.29,79.48,46.33,46.07,46.59,74.75,40.65,37.41
1NVP,ABCD:EF,TATA box binding protein+Transcription initiation factor IIA alpha chain+Transcription initiation factor IIA beta chain+Transcription initiation factor IIA gamma chain,H. sapiens,108+181+57+76,X,2.1,Hetero 4-mer,C,D,Protein-Protein,3222.53,1677.33,1545.2,66.96,64.86,69.24,40.42,44.87,36.52,100.68,57.35,48.13
1P51,ABCD:EFIH,DNA-binding protein HU,N. sp.,94,X,2.5,Homodimer,A,B,Protein-Protein,4012.63,1998.56,2014.07,81.54,81.83,81.25,41.91,40.96,42.86,102.49,52.41,53.13
1PAR,ABCD:EF,PROTEIN (ARC REPRESSOR),S. phage P22,53,X,2.6,Homo 4-mer,A,B,Protein-Protein,3603.35,1811.42,1791.93,63.77,64.43,63.11,40.0,38.51,41.52,116.79,59.36,57.45
1PNR,A:B,PROTEIN (PURINE REPRESSOR),E. coli,340,X,2.7,Homodimer,A,C,Protein-Protein,5157.37,2578.68,2578.69,58.63,58.63,58.63,25.67,25.67,25.67,82.86,43.68,43.68
1QPI,A:MN,PROTEIN (TETRACYCLINE REPRESSOR),E. coli,203,X,2.5,Homodimer,A,B,Protein-Protein,4733.46,2366.73,2366.73,73.16,73.16,73.16,35.27,35.27,35.27,86.19,45.17,45.17
1QRV,AB:CD,HIGH MOBILITY GROUP PROTEIN D,D. melanogaster,73,X,2.2,Homo 2-mer,A,B,Protein-Protein,97.87,55.38,42.49,67.17,95.74,29.94,0.0,0.0,0.0,8.62,2.4,5.25
1R71,ABCD:EIFJGLHK,Transcriptional repressor protein korB,E. coli,178,X,2.2,Homo 2-mer,A,B,Protein-Protein,303.7,155.33,148.37,39.03,31.86,46.53,13.89,12.5,15.0,34.28,15.0,18.6
1R8D,AB:CD,transcription activator MtaN,B. subtilis,109,X,2.7,Homodimer,A,B,Protein-Protein,1979.54,1000.0,979.54,82.78,84.11,81.41,38.69,38.37,39.02,63.57,32.21,32.05
1RAM,AB:CD,PROTEIN (TRANSCRIPTION FACTOR NF-KB P65),M. musculus,273,X,2.7,Homo 2-mer,A,B,Protein-Protein,1312.04,652.88,659.16,61.82,62.62,61.02,28.46,30.16,26.87,64.0,33.4,32.75
1RZR,GCADTLYS:HREB,Glucose-resistance amylase regulator+Phosphocarrier protein HPr,P. megaterium,332+88,X,2.8,Hetero 4-mer,C,G,Protein-Protein,4181.49,2084.25,2097.24,59.09,59.78,58.39,27.79,28.64,26.96,80.12,41.56,42.77
1RZR,GCADTLYS:HREB,Glucose-resistance amylase regulator+Phosphocarrier protein HPr,P. megaterium,332+88,X,2.8,Hetero 4-mer,C,L,Protein-Protein,93.73,44.47,49.26,24.35,38.7,11.39,0.0,0.0,0.0,14.0,9.0,4.0
1RZR,GCADTLYS:HREB,Glucose-resistance amylase regulator+Phosphocarrier protein HPr,P. megaterium,332+88,X,2.8,Hetero 4-mer,C,T,Protein-Protein,1417.82,684.38,733.44,62.11,63.3,60.99,31.51,33.33,29.58,64.99,32.29,34.28
1SAX,AB:CD,Methicillin resistance regulatory protein mecI,S. aureus,123,X,2.8,Homodimer,A,B,Protein-Protein,4015.34,1993.02,2022.32,72.61,72.15,73.06,39.24,40.1,38.34,105.21,54.01,54.4
1SVC,P:D,PROTEIN (NUCLEAR FACTOR KAPPA-B (NF-KB)),H. sapiens,365,X,2.6,Homodimer,P,B,Protein-Protein,1357.62,678.81,678.81,62.35,62.35,62.35,34.78,34.78,34.78,70.84,36.52,36.52
1T2K,ABCD:EF,Cyclic-AMP-dependent transcription factor ATF-2+Interferon regulatory factor 3+Transcription factor AP-1,H. sapiens,112+61+62,X,3.0,Hetero 4-mer,C,D,Protein-Protein,1975.54,986.47,989.07,82.74,83.2,82.29,28.42,31.18,25.56,58.89,30.67,30.31
1TQE,PQXRSY:CDEF,Histone deacetylase 9+Myocyte-specific enhancer factor 2B,M. musculus,26+93,X,2.7,Hetero 3-mer,P,Q,Protein-Protein,6055.22,3020.04,3035.18,67.88,68.55,67.21,46.21,46.08,46.34,125.04,63.45,64.5
1TQE,PQXRSY:CDEF,Histone deacetylase 9+Myocyte-specific enhancer factor 2B,M. musculus,26+93,X,2.7,Hetero 3-mer,P,X,Protein-Protein,776.31,372.37,403.94,75.53,64.69,85.53,20.59,27.78,12.5,45.71,25.39,20.0
1TRR,ABDEGHJK:CFIL,PROTEIN (TRP REPRESSOR),E. coli,107,X,2.4,Homo 4-mer,A,B,Protein-Protein,4862.9,2434.93,2427.97,71.81,71.43,72.19,37.67,38.34,37.01,115.04,58.64,58.36
1TRR,ABDEGHJK:CFIL,PROTEIN (TRP REPRESSOR),E. coli,107,X,2.4,Homo 4-mer,A,G,Protein-Protein,990.65,496.5,494.15,59.18,59.53,58.83,25.0,25.49,24.49,38.48,20.04,19.1
1TUP,ABC:EF,PROTEIN (P53 TUMOR SUPPRESSOR ),H. sapiens,219,X,2.2,Homo 3-mer,A,B,Protein-Protein,1426.23,714.22,712.01,48.5,49.55,47.43,23.84,21.05,26.67,72.26,35.53,39.89
1TUP,ABC:EF,PROTEIN (P53 TUMOR SUPPRESSOR ),H. sapiens,219,X,2.2,Homo 3-mer,B,C,Protein-Protein,750.47,377.6,372.87,66.22,63.21,69.27,5.26,5.13,5.41,34.76,18.72,16.65
1VOL,AB:CD,PROTEIN (TATA BINDING PROTEIN (TBP))+PROTEIN (TRANSCRIPTION FACTOR IIB (TFIIB)),A. thaliana,200+204,X,2.7,Hetero 2-mer,A,B,Protein-Protein,1253.01,589.95,663.06,65.65,71.06,60.82,17.32,22.06,11.86,60.82,30.38,32.24
1XBR,AB:CD,PROTEIN (T PROTEIN),X. laevis,184,X,2.5,Homodimer,A,B,Protein-Protein,415.49,206.21,209.28,78.08,77.31,78.83,21.95,23.81,20.0,38.34,19.52,18.2
1YRN,AB:CD,PROTEIN (MAT A1 HOMEODOMAIN)+PROTEIN (MAT ALPHA2 HOMEODOMAIN),S. cerevisiae,61+83,X,2.5,Hetero 2-mer,A,B,Protein-Protein,1271.08,614.53,656.55,68.71,62.08,74.91,31.01,33.33,28.57,66.45,35.91,33.05
1YSA,CD:AB,PROTEIN (GCN4),S. cerevisiae,58,X,2.9,Homo 2-mer,C,D,Protein-Protein,1828.37,902.87,925.5,79.7,77.75,81.6,34.48,35.37,33.7,61.94,29.59,34.37
1YTF,ABCD:EF,PROTEIN (TATA BINDING PROTEIN (TBP))+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1C SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1N SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA2 SUBUNIT),S. cerevisiae,121+180+53+79,X,2.5,Hetero 4-mer,A,C,Protein-Protein,528.27,251.69,276.58,57.79,47.04,67.57,14.04,13.33,14.81,47.61,25.13,22.96
1YTF,ABCD:EF,PROTEIN (TATA BINDING PROTEIN (TBP))+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1C SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1N SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA2 SUBUNIT),S. cerevisiae,121+180+53+79,X,2.5,Hetero 4-mer,A,D,Protein-Protein,847.75,395.07,452.68,44.2,43.22,45.06,18.39,24.0,10.81,53.4,30.4,23.46
1YTF,ABCD:EF,PROTEIN (TATA BINDING PROTEIN (TBP))+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1C SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1N SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA2 SUBUNIT),S. cerevisiae,121+180+53+79,X,2.5,Hetero 4-mer,B,C,Protein-Protein,500.18,251.11,249.07,48.15,44.58,51.76,11.76,8.33,14.81,42.31,18.67,22.89
1YTF,ABCD:EF,PROTEIN (TATA BINDING PROTEIN (TBP))+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1C SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1N SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA2 SUBUNIT),S. cerevisiae,121+180+53+79,X,2.5,Hetero 4-mer,B,D,Protein-Protein,2071.37,1033.87,1037.5,81.1,78.66,83.54,38.81,37.25,40.4,71.44,41.18,33.37
1YTF,ABCD:EF,PROTEIN (TATA BINDING PROTEIN (TBP))+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1C SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA1N SUBUNIT)+PROTEIN (TRANSCRIPTION FACTOR IIA - TOA2 SUBUNIT),S. cerevisiae,121+180+53+79,X,2.5,Hetero 4-mer,C,D,Protein-Protein,3338.98,1731.64,1607.34,68.55,66.33,70.94,40.29,43.48,37.5,101.97,58.67,49.7
1Z9C,ABCDEF:GHIJKL,PROTEIN (ZIF268),B. subtilis,87,X,2.64,Homo 2-mer,A,B,Protein-Protein,4808.63,2396.33,2412.3,74.3,75.25,73.36,39.44,39.15,39.74,120.61,58.45,60.14
1ZME,CD:AB,PROLINE UTILIZATION TRANSCRIPTION ACTIVATOR,S. cerevisiae,70,X,2.5,Homodimer,C,D,Protein-Protein,2205.86,1113.54,1092.32,75.3,75.22,75.38,34.3,30.85,37.17,70.49,33.21,38.46
2A07,FGHIJK:ABCD,Forkhead box protein P2,H. sapiens,93,X,1.9,Homo 6-mer,F,G,Protein-Protein,4531.41,2276.67,2254.74,75.04,75.46,74.61,46.86,47.46,46.28,109.8,56.53,58.68
2BNW,ABCD:EFGH,ORF OMEGA,S. pyogenes,53,X,2.45,Homodimer ,A,B,Protein-Protein,3642.09,1838.22,1803.87,71.29,71.32,71.26,37.02,35.75,38.25,125.1,61.49,62.11
2BNW,ABCD:EFGH,ORF OMEGA,S. pyogenes,53,X,2.45,Homodimer ,B,C,Protein-Protein,497.66,245.85,251.81,65.72,66.71,64.75,20.41,20.0,20.83,43.1,21.92,21.17
2BNW,ABCD:EFGH,ORF OMEGA,S. pyogenes,53,X,2.45,Homodimer ,C,D,Protein-Protein,3810.41,1890.18,1920.23,71.88,73.91,69.89,36.14,37.63,34.62,127.61,62.38,63.31
2BOP,A:B,PROTEIN (E2),B. papillomavirus type 1,85,X,1.7,Homodimer,A,B,Protein-Protein,691.81,355.42,336.39,50.55,70.73,29.23,18.67,20.59,17.07,53.12,23.94,29.51
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,A,B,Protein-Protein,1909.61,958.21,951.4,81.02,80.32,81.73,44.44,43.27,45.74,73.52,38.65,37.23
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,A,E,Protein-Protein,2678.38,1251.61,1426.77,70.08,75.45,65.38,33.47,42.22,23.01,78.73,42.16,37.65
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,B,E,Protein-Protein,88.79,42.17,46.62,54.29,25.85,80.01,0.0,0.0,0.0,10.0,6.0,3.0
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,B,F,Protein-Protein,2116.91,987.76,1129.15,72.53,73.4,71.77,34.12,37.93,29.47,87.68,45.4,43.28
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,C,D,Protein-Protein,1923.93,964.65,959.28,80.06,81.13,78.97,45.08,44.12,46.15,70.77,37.71,35.14
